file_name,iso_code,latitude,longitude,heading
000001.png,tr,40.84032682,43.05694699,225
000002.png,it,38.19905102,15.43201833,124
000003.png,br,-7.311148781,-38.11181378,241
000004.png,tr,38.69321493,37.41727951,206
000005.png,gb,58.14062915,-6.808999492,260
000006.png,bg,43.47607341,28.17151125,41
000007.png,ca,49.61576108,-54.748063,294
000008.png,fr,48.22734991,-3.664702057,267
000009.png,jp,33.42814289,130.3233573,177
000010.png,us,47.41745636,-96.51621012,259
000011.png,lt,54.11313104,23.72789808,200
000012.png,br,-22.50830941,-46.58987005,223
000013.png,us,38.30030577,-84.49264073,191
000014.png,it,43.07709539,10.87178871,107
000015.png,br,-25.12466824,-52.74963839,64
000016.png,us,35.81374989,-81.33400467,98
000017.png,au,-37.48371874,143.5189189,265
000018.png,us,44.780013,-99.32753548,128
000019.png,ca,44.66405478,-65.51676948,287
000020.png,it,38.62673557,16.1332604,349
000021.png,fr,44.01476631,6.559911618,129
000022.png,tr,41.59147693,35.83642075,329
000023.png,us,48.27950652,-99.32683745,333
000024.png,us,44.15530657,-96.50769199,291
000025.png,us,45.15530374,-92.38423556,113
000026.png,br,-7.346984257,-36.46673544,52
000027.png,gb,52.60992579,-1.746513751,264
000028.png,id,-2.7740527,103.7410852,126
000029.png,no,70.67262344,26.60116127,2
000030.png,us,32.43132503,-91.8110677,101
000031.png,us,37.05288642,-89.40402198,267
000032.png,mx,26.77296149,-99.88506618,253
000033.png,ca,50.44810344,-108.2732841,137
000034.png,gr,39.83035387,21.43713436,65
000035.png,us,35.65695926,-109.1427377,191
000036.png,au,-26.68948108,152.4722278,194
000037.png,au,-30.46663308,117.3424799,114
000038.png,mg,-22.00015381,43.25929317,187
000039.png,ru,55.3714999,65.97852412,317
000040.png,ca,50.01595052,-105.5552217,233
000041.png,it,45.04161389,9.758094372,322
000042.png,at,47.52009953,12.36808094,256
000043.png,us,37.20497407,-82.88466486,208
000044.png,us,48.66164344,-100.7235126,95
000045.png,au,-25.04069045,115.2082464,227
000046.png,us,31.90155023,-84.43026341,225
000047.png,br,-30.78504131,-53.95619902,111
000048.png,no,61.21008717,8.340036048,55
000049.png,se,57.04895307,15.50393592,196
000050.png,ar,-35.07796581,-58.56799206,21
000051.png,au,-19.53098195,140.8403517,80
000052.png,br,-16.28641175,-44.8024772,89
000053.png,ar,-43.33752743,-67.27695332,278
000054.png,tr,38.96405971,26.98071345,275
000055.png,ar,-47.24048488,-71.52716822,46
000056.png,us,36.37831116,-100.7844038,197
000057.png,us,29.21848033,-98.39924654,121
000058.png,us,34.95800946,-99.42785057,319
000059.png,us,38.57197543,-89.93581317,296
000060.png,us,45.19042348,-121.6848556,238
000061.png,no,59.01164891,5.57187636,255
000062.png,us,33.76069927,-89.11033026,194
000063.png,ru,54.46572879,113.4078661,335
000064.png,be,49.79508514,5.331049428,214
000065.png,mx,19.86060526,-98.38005434,113
000066.png,nl,51.22547401,5.929778361,163
000067.png,ru,51.0486949,142.2628792,280
000068.png,no,64.2244736,10.98375937,359
000069.png,us,31.88366131,-94.68176169,235
000070.png,au,-31.67698877,148.5119052,218
000071.png,mx,20.04899424,-89.76286746,15
000072.png,ru,56.53413528,101.5148055,146
000073.png,es,36.99495789,-5.209892883,267
000074.png,ru,56.77272337,61.49737287,295
000075.png,us,45.79746567,-118.9704896,85
000076.png,ru,53.49853673,37.51581438,307
000077.png,za,-28.35980758,28.60102057,244
000078.png,us,31.59467009,-95.9609974,221
000079.png,id,-4.134293203,120.0835404,21
000080.png,us,42.94725897,-91.56250841,343
000081.png,es,42.01693142,1.445370154,191
000082.png,es,42.16829739,0.451759832,77
000083.png,fi,66.98205369,26.0193218,333
000084.png,br,-9.814239453,-37.4420285,290
000085.png,hu,47.71350497,19.552612,301
000086.png,ca,55.13704192,-108.124733,353
000087.png,es,38.59673816,-3.10556182,84
000088.png,ca,52.37618809,-112.8840185,164
000089.png,lt,54.59825241,23.56744898,198
000090.png,us,39.82360248,-79.0942184,222
000091.png,us,33.27341411,-82.32064497,205
000092.png,nz,-43.71488341,172.9658418,341
000093.png,it,41.6085356,13.98268553,2
000094.png,ca,51.05860507,-111.191053,337
000095.png,pl,52.76644806,17.72565013,18
000096.png,uy,-33.53306057,-55.22381838,20
000097.png,us,39.91762609,-106.5485816,203
000098.png,ru,55.76355334,73.96430956,197
000099.png,us,45.84856018,-91.07569208,264
000100.png,fr,44.51872797,6.521868507,312
000101.png,fr,48.30098,-1.387075464,204
000102.png,us,37.47171425,-79.64001568,253
000103.png,ru,56.21198601,34.43460513,342
000104.png,es,37.05524522,-2.568484122,189
000105.png,au,-34.0551341,151.0723283,255
000106.png,za,-28.46668456,28.34133173,51
000107.png,au,-28.43135661,150.301996,101
000108.png,ru,45.02798899,42.01415562,305
000109.png,us,35.4075422,-99.72984628,119
000110.png,sn,15.42521071,-13.49829582,8
000111.png,au,-32.08580146,116.863801,141
000112.png,no,58.71828597,5.791821306,106
000113.png,ca,50.70693193,-108.6132497,281
000114.png,us,28.8275179,-82.58459824,269
000115.png,ru,60.83146302,128.6847009,155
000116.png,nz,-41.32140013,172.0883828,38
000117.png,ru,57.86633828,63.16801478,291
000118.png,us,37.39888212,-78.53244859,108
000119.png,ie,53.76656002,-8.088372414,322
000120.png,tw,23.15803933,120.7592088,257
000121.png,ph,6.068573619,125.1544518,315
000122.png,za,-27.79824077,29.38603833,188
000123.png,ca,62.9770954,-136.5052019,56
000124.png,za,-26.21743669,26.68361785,291
000125.png,ru,54.01917415,41.7712693,68
000126.png,bw,-22.32982585,28.89613358,124
000127.png,ru,46.65821788,39.22814228,184
000128.png,it,41.69815029,15.38579813,28
000129.png,us,33.08058757,-87.54824121,145
000130.png,ru,55.80151988,46.64410496,73
000131.png,au,-35.71788514,143.0987851,225
000132.png,th,15.09126041,100.6483957,43
000133.png,us,31.67726836,-101.6502833,248
000134.png,ca,46.4963755,-70.34731946,254
000135.png,fr,48.54344601,0.46595557,173
000136.png,id,-1.17408844,103.7661428,233
000137.png,ca,55.32896362,-122.6438134,284
000138.png,pl,54.03729117,22.66856266,117
000139.png,za,-32.23185992,21.62729675,76
000140.png,es,38.62576151,-1.954324726,290
000141.png,th,14.02591084,100.7404374,47
000142.png,fr,48.90875986,7.937991129,24
000143.png,nz,-46.52439721,168.740251,338
000144.png,id,-7.274627966,112.8199567,254
000145.png,us,39.16236956,-100.7993958,0
000146.png,gb,58.19249144,-4.514507653,13
